"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"NYC","All","City","713887.5","702500","650000","670000","655931","660000","650000","675000","6e+05","660536","682841","675000","665000","627500","699000","585493","750000","725000","650000","649500","620000","675000","650000","635000","605000","646588","655000","674000","695000","685000","681159","625000","575000","582728.5","606500","615000","630000","697501","665000","720000","725000","675000","649000","657300","651680","699000","625000","638817.5","689500","765000","772000","735000","765000","710000","697000","660000","665000","725000","750000","726250","675000","7e+05","735000","708000","721524","7e+05","660000","644139.5","670000","676118","702500","660000","650000","7e+05","695000","755000","725000","7e+05","749250","740000","789000","788321.5","810000","750000","750000","749000","840000","790000","805000","782000","762500","780000"
"Manhattan","Manhattan","Borough","922500","819691","765000","799326","760632","799163","747000","825000","720000","792000","834500","813500","832482.5","790000","875000","720000","911562.5","890000","795000","835000","829873","910000","850000","750000","838200","840000","807500","845000","850000","850000","825000","766389","765000","725000","799000","786831","815000","867000","804708.5","870000","885000","830000","788175.5","835000","802000","855000","750000","765331","897000","949750","925000","875000","890000","829000","872312.5","814248.5","885000","946500","950000","895000","848250","870000","919500","899000","892500","840000","885000","9e+05","9e+05","960000","985000","930000","938000","934753","962500","1050000","950000","999000","1100000","1070000","1150000","1115000","1128372.5","1167500","1017231","965659.5","1175000","1014490","1072500","990000","975000","999000"
"All Downtown","Manhattan","Submarket","1099855","972534","9e+05","938395","875000","900575.5","850000","914000","830000","865512","9e+05","9e+05","1125000","1092072.5","916425","915500","1150000","1026250","997885","1050000","857500","1055000","1195000","836400","1045000","910000","861500","821320","961500","882500","845000","827500","850000","875000","920712.5","830000","987102","941094.5","959500","955000","996866","1058980","853415","897500","863750","925000","882500","886000","1275000","1199000","1180000","970000","1080000","910000","999000","947500","1075000","1381250","1246178","1140000","999250","957155","1088521","1250000","1090000","998500","1122537.5","1145000","1300000","1276451.5","1445915","1215000","1190000","1150000","1185000","1367500","1500000","1207500","1500000","1624108","1557500","1717500","1650000","1665056","1437820.5","1326816.5","1451006","1350000","1370000","1400000","1650000","1310000"
"All Midtown","Manhattan","Submarket","578500","670000","740000","661862","664178.5","661228","630000","702500","652500","690000","706812.5","645000","612500","687500","767525","602500","780000","751752.5","725000","770000","752500","775000","680000","700787","592000","760000","748500","729000","727250","765000","720000","667500","573750","690000","766745","703550","627500","784000","715000","710000","840000","653000","650000","805000","705000","815000","737500","722500","663750","773513","887000","8e+05","775000","776250","8e+05","675000","725000","787500","716250","733500","730000","715000","792500","751000","780000","742000","756000","785000","753505","800651.5","850000","830000","875364","890968","870603","852619","860000","856797.5","995000","810000","1000784","9e+05","1099000","825000","884000","732000","980000","875000","759000","767500","835000","872500"
"All Upper West Side","Manhattan","Submarket","890000","872250","697500","782500","850000","895000","904175","909297","848000","852000","925000","890000","770000","847500","920000","795000","975000","960000","8e+05","920000","903250","967000","836250","870000","802500","914500","875000","949000","919425","1017500","1005000","995000","997000","860000","755630","1039000","880000","977500","878850","995000","957500","868500","9e+05","899000","950000","955000","790000","750000","999500","991000","950000","955000","997000","961500","995000","905000","1005500","999800","1116077","992793","1040000","1130000","975000","978000","1053988","987250","1075000","915406","848500","1006940","957500","1110000","775000","925050","1095000","1325000","1060000","1140000","1250000","1297000","1435457.5","1356000","1110037.5","1075000","1145000","990000","1008499.5","1026320","1250000","1187500","960000","998499"
"All Upper East Side","Manhattan","Submarket","1217500","816500","820000","997885","867500","775000","715000","875000","827500","860000","972000","875000","1070000","854130","1210000","870000","1137500","1072500","865000","832500","935000","1125000","1017500","760000","1240000","997000","875000","1045000","1019000","973750","873500","920000","860000","687318","932500","820000","1147500","1074500","792500","1175000","917500","955000","855000","830500","877500","940000","755000","818000","984875","980000","967000","939000","890968","842500","888179.5","832500","1019750","1300000","1050000","1017500","939000","950000","997500","975000","1150000","925750","996000","1075000","899000","965000","957500","895000","1360000","960000","1100000","1242500","1034353","1145000","990000","970000","1024985.5","997000","950000","1450500","1175000","1066027","1250000","1198221.5","1189316","970000","994062.5","1270000"
"All Upper Manhattan","Manhattan","Submarket","450000","476580","439000","490317.5","453765","463325","4e+05","540000","425880","440000","440000","4e+05","413500","331071","365964","456300","494789","406000","469500","465000","425000","426881","430000","365000","425000","415000","485000","470860","479334","439000","481662.5","460844.5","417905","422000","391968.5","433022.5","405300","478832","437500","425475","499000","427000","388333","419970","455000","475000","438675","402500","365000","404000","509000","424207.5","440000","415099","399000","380000","404835","374500","375000","405000","483952.5","425000","498944","487000","529126","400530","443297.5","517000","542909.5","510000","567564","490000","567674.5","566250","515000","510999","484776","500500","507000","587500","465000","505000","476680","554500","402293","518681","515000","520000","525000","546000","465000","490000"
"Bronx","Bronx","Borough","3e+05","392925","397995","289000","372000","269000","232500","238500","291000","318125","305000","2e+05","234320","206000","226000","272950","332500","272500","282250","210000","245000","380000","235000","241250","218000","340000","200450","235000","230000","262500","276500","250000","308750","260000","272500","255800","149000","272500","223000","170000","205000","240000","229000","290000","281250","185000","223612.5","237000","230500","230000","2e+05","222500","247000","234000","250000","210750","226750","265000","230000","197500","178500","205000","190000","272249","215000","235000","239000","185000","232500","244250","229000","230000","292500","217500","280000","283451.5","246000","250000","250000","265000","207500","222500","245000","227500","237500","253250","225000","239000","234000","230000","274500","308750"
"Brooklyn","Brooklyn","Borough","540000","506026.5","453194","490000","480825","460000","485000","445146","435000","460000","490000","485353","512837.5","465000","460000","450000","489197.5","524699","499500","456645.5","409500","465000","487500","475000","456020","462000","524872.5","515000","532500","485875","530985.5","446160","457643","467454","425880","460000","415335","481651","540000","590585","540000","519500","539836","499500","525000","501930","540000","492145","477500","494975","495000","535000","577292.5","564128","495000","475000","499000","555009","493000","485000","470000","530000","560224","496860","6e+05","560000","536500","517500","570000","545000","585000","529490","620000","584500","620668.5","618000","683613.5","602750","622500","609000","650000","640000","675000","646802","585493","676000","676350","725000","722957","690000","715000","692500"
"North Brooklyn","Brooklyn","Submarket","580000","532035","544327","542132","549855","564110","595000","717500","562473","636406","555000","550873","656771","500930","626223.5","492500","510000","552000","617792.5","540000","575306","578000","560000","581500","525000","499000","537500","539776.5","596356","548775","588500","519000","595676","550000","501465","522199","595676","544763","624696","677000","648340","672504","739999","655000","599000","673000","741000","688964","693000","755000","722000","717405.5","825000","797300","805000","832000","867500","865000","781250","866000","785000","1099033","826000","925000","870000","1012000","840000","975000","949000","885000","1042500","834290.5","902500","910000","998903","930800","1147993.5","883750","992500","947500","986684","852775","980000","855000","816636","950000","995000","1143500","836186.5","985000","1015658","1145000"
"Northwest Brooklyn","Brooklyn","Submarket","650000","590000","570220","620000","560018.5","550000","560037","500930","5e+05","619305.5","6e+05","599000","567055","534973","575000","527000","645376.5","527985.5","620000","475000","398500","427500","468500","572500","507000","502499.5","625000","582500","625000","572450","659011.5","501250","510000","514608","465225","523495","655000","612987","680000","809754","667000","630000","651680","575311","657500","623066","698385.5","743500","681209","597500","645000","710000","765000","785000","669000","627000","705000","705000","746661","750000","705000","755000","849000","691000","704230","809836.5","750000","770500","843500","772500","759000","889000","822500","914500","975000","770000","895000","822500","925000","875000","982500","932000","817500","787500","850000","949000","990972","999000","934125","1022500","950000","1043750"
"East Brooklyn","Brooklyn","Submarket","509500","496860","437500","465426","354969","332592","360000","330000","352380","351000","392000","479603","320000","339690","360000","372645","339690","440000","315000","342250","295000","424000","335000","375000","390000","342315.5","405093","425880","415740","395000","410670","409000","330000","370000","413205","322940.5","305000","373152","383000","466440","355000","440000","456000","482000","529500","470000","582623","475000","404586","366000","345000","435000","425000","277174","375453.5","575000","459500","580000","419665","639461","687500","670000","499500","425000","756000","6e+05","465000","540000","710000","689355","496860","625000","635000","643385.5","720000","605000","685613.5","525000","605000","599000","687318","625383.5","755000","646802","485706","815000","776425.5","870000","820032.5","625000","520000","620000"
"Prospect Park","Brooklyn","Submarket","547000","600096","540000","570220","587000","595000","651680","536500","539625","554200","556250","590000","547309","545000","530000","555000","686000","709500","630000","642515","530000","633603","675000","650000","529500","525000","732000","627500","625000","550000","609500","580000","560500","550207","518000","565500","525000","510000","6e+05","597000","757500","584288","7e+05","650000","540000","725000","670000","636500","615566","593000","616550","675000","860000","702000","705500","610000","598000","769000","830000","775000","8e+05","689000","613000","825000","714000","775000","699750","747500","785000","790000","746000","9e+05","825000","7e+05","675000","805000","960000","731500","860323","812500","792500","968500","828000","829675","763687","897500","685000","914500","885000","804000","865512","912000"
"South Brooklyn","Brooklyn","Submarket","356660","417000","294060","380000","365172.5","360000","380000","323600","370000","332310","425000","345000","373000","367820","345800","356000","321592","432370","393000","415000","375000","375000","373000","4e+05","330000","355000","360000","4e+05","405600","360000","395000","363597","335000","387500","325000","4e+05","297500","349000","339000","378590","371500","382660","399000","355000","365000","355000","335000","299000","303000","285000","325000","314500","317000","350000","317187.5","329000","349830","318500","299130","315000","333900","320500","327000","320500","340000","368524.5","345000","355000","366525.5","378500","330000","350000","401793","350000","370000","395000","354240","391900","400366","360000","432500","410670","425880","410000","454000","465000","460000","445000","492000","440000","477000","467500"
"Queens","Queens","Borough","539900","484399","4e+05","480000","461978","480000","405000","434841.5","545000","402558","490092.5","415265","395230","430665.5","392500","402730","398558","315698","440000","349000","387000","370000","3e+05","360000","383500","342000","370000","352500","357000","275000","411172.5","288500","285000","354275","354900","367000","375000","399216","389750","350000","282000","433992","370250","406786","325000","435000","312500","332000","342300","413000","468000","320250","313750","330000","365000","334810","320000","349900","308000","339200","303000","314642","334000","330000","362500","285834","337500","342470.5","355000","325303","365000","335500","333800","382500","367500","370000","391000","370000","375000","405000","402500","405000","394723","410000","387000","379000","367500","458250","389000","440000","458000","470000"
"Staten Island","Staten Island","Borough","","","","2e+05","","","","190000","","","152500","","130000","","165000","139900","178000","","195000","","415000","222000","257500","403750","362500","267528","195000","379000","105000","385500","570000","370000","350000","290000","305000","302500","323000","280000","360000","350000","330000","371232","779000","420000","350000","435000","390000","375555","359375","380000","456300","315000","312345","401806","4e+05","442500","367835","450000","360000","251250","260000","450000","432500","315000","390000","395460","399450","4e+05","389000","394179.5","378150","385250","405500","407500","4e+05","389500","380000","412340","416000","390000","418000","430000","420000","405000","395000","387200","445000","438500","457500","452000","490000","542500"
"Astoria","Queens","Neighborhood","490000","","","","423650","401568","","393841.5","370000","420000","399516","542500","340000","337848","329810","367575","380000","312819","440000","451230","370702","378111","401591","386415","405672","227250","319410","310000","","324050","432000","392853","340000","380250","382660","375180","410670","393432","380250","418275","294075","387765","470942","334650","325000","580000","306250","404005","559019","343760","538000","456300","360750","425000","460475","337000","320000","377625","309825","335000","391500","352405","408750","337500","360000","335000","342000","325000","379227","485278","480000","377625","510000","430300","420496","401830","295000","539672","605859","539000","5e+05","530000","616041","550000","475000","532500","507250","6e+05","305000","543750","570000","365000"
"Auburndale","Queens","Neighborhood","","","","","","","","","","","","665000","","","","530000","","","","","490000","","","","","","430000","","","","158000","488000","","","","","188000","","","","","575000","","1190000","538000","568000","595000","","","","618000","1e+05","680000","","736000","","","445000","","","","","","","615000","155000","","","657750","615000","647000","8e+05","210000","","","","670000","","","","672500","","","","777444","","","","","680000","",""
"Bath Beach","Brooklyn","Neighborhood","","","","","","","","282590","510000","","190000","190000","496860","205000","","526076","","","2e+05","","","620000","","","223040","502500","","","","","361500","595000","","","","","","","","","217500","6e+05","","","395790.5","387500","","","","","235000","","","243524.5","436500","241000","","257000","","","378500","","","215000","","240000","","","","380000","","250000","684000","565128","","375000","","","","","","520000","","854000","985000","457000","","340000","","","",""
"Battery Park City","Manhattan","Neighborhood","1471371","2067047","1664838","1265176.5","987000","1214950","419000","771033","","665246.5","485000","431000","425000","2068000","1107389.5","979314.5","1196443","1292275","1300814","1550000","","1642328","853130.5","637500","757000","495895","542277","673613.5","936790","446160","824918","1420458","570220","2072138","7e+05","834965","841000","650748.5","1056579","742500","1090767.5","975000","675000","687159","892482.5","784052","864984.5","997500","655000","847482.5","785000","705000","770000","763687","9e+05","743750","910000","1526250","1300000","780000","1150000","1482500","774000","937500","770000","999500","980000","692500","1032505","872000","1200000","1850000","745000","655000","883000","980000","1787028.5","925000","2077230","2565990","1957500","2306336","2315000","","2045000","1705568","1200000","826000","1985000","1882500","960000","980000"
"Bay Ridge","Brooklyn","Neighborhood","631250","283750","346500","380000","279000","232000","251000","310000","240000","310000","5e+05","282500","292250","575000","212500","285000","241078.5","307500","375000","280000","265000","402975","463750","4e+05","376000","265000","4e+05","438000","436020","376370","394905","282500","585493","283750","175000","375125","242500","319000","590000","590585","466500","490000","377500","330000","418791","257500","383000","265000","264500","225000","212500","260000","305000","455000","255000","275500","345000","257500","374500","209000","325000","316000","249500","290000","286500","244500","260000","290000","220000","292900","296381.5","231000","249500","262000","273000","357500","275000","272000","380000","293000","325000","396250","384500","308150","339000","452500","442000","412500","269900","360000","445000","367500"
"Bayside","Queens","Neighborhood","","295000","542000","575000","","592500","","443750","647250","616944","","","515000","502500","825000","420600","455000","238000","1295000","625000","666000","220000","705000","435000","251000","244500","585000","171500","680000","750500","263750","1088000","202000","345000","297500","214600","480000","715000","380000","212500","409000","343750","247500","688000","","650000","525000","663500","93000","411701","869000","626999.5","740000","700875","","239000","728000","670000","429000","385500","768990","809000","815000","535000","590000","594000","572500","622966.5","545000","720000","734000","235000","264500","416750","402500","257000","664022.5","330000","8e+05","240000","390000","360000","717500","635387.5","342500","557750","604000","625000","894000","920000","768000","780000"
"Bedford-Stuyvesant","Brooklyn","Neighborhood","6e+05","496860","465000","528000","430000","275727.5","414373.5","407660","360000","262750","489000","479603","304200","344760","450000","370000","293500","487790","344760","311838","245000","456560","417083","286365","403250","375055","413205","450000","510000","410670","410670","416242.5","435692","382500","458080","296000","387520","389000","395982","466440","340000","499000","400530","499000","524500","450000","586750","505750","575000","565000","557500","608000","465426","6e+05","630000","602500","459500","580000","560000","647730.5","711000","665000","617460","660000","820000","905000","665000","599000","725000","1013158","542500","738231","740000","790162","766068","616984","768000","685000","830000","1006500","723159","773870","814000","945000","837500","905000","859000","870000","735000","825000","632500","636166.5"
"Bellerose","Queens","Neighborhood","","","","","","","","","","","352000","","","","","","","","535000","","","","","","","","435000","","","","555000","528000","","","","","","","","390000","","","","","","","","","","","","","","","","","","","540000","","","550000","","752500","492000","590000","457500","549000","430000","491500","","450000","520000","5e+05","455000","450000","","","550000","130000","590000","565000","626875","575000","549000","","582500","510000","656750","6e+05","515750","570000"
"Bensonhurst","Brooklyn","Neighborhood","","549855","","413150","496860","","175000","318600","306835","497730.5","560000","625000","","594750","556206","391000","5e+05","440735","493750","433010","408000","485000","605000","","615000","550000","492500","588000","395020","465000","578000","497500","475000","463727","","435385","","698500","","589000","431500","579200","652500","725000","","5e+05","420000","456500","650000","605000","489909.5","6e+05","321000","870000","545000","352500","377500","790000","417500","625000","148000","530000","","820000","485000","173000","776000","695000","","580000","","224000","737500","680000","","","","","669000","435000","722500","977500","508500","872500","680000","660000","820000","787500","833800","972500","850000","230000"
"Bergen Beach","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","480895","","","","660000","","485895","","","257500","809500","","","","","","","522500","","","","","","","355000","","422650","614000","","","","","","460000","4e+05","537500","485000","","388350","","","","","","","","","","","455000","","","452500","","550000","","","662500","","","","558000","494999.5","","571250","","","","","606500","","","","","543500","5e+05","507500"
"Boerum Hill","Brooklyn","Neighborhood","","","","","414726","","620000","","394000","","640000","","","","","","","","","","","","","","","","","746500","","","","","","","","","","","","","","","","","","3300000","","","","","690000","650000","","","","","","832500","840000","","","","","","","","","1300270","","","","972000","1255650","","","","","","","","","","","","","","","","","1250000","972732.5",""
"Borough Park","Brooklyn","Neighborhood","550000","","","380000","6e+05","358000","370000","427750","456300","510000","372500","680000","195000","370000","385320","445000","610000","565000","","550000","535000","370000","","532500","383000","760000","575000","","375000","472500","590000","7e+05","480000","910000","725000","5e+05","213070","","","390000","365000","980000","555000","520000","","","565000","8e+05","567500","","","560000","678750","662125","710700","","","","370000","350000","825000","","692500","470000","425000","740000","765000","399000","490000","704444","851500","570000","205000","995000","480000","","","","230000","9e+05","","565000","","720000","589000","1011500","","1255000","9e+05","","",""
"Briarwood","Queens","Neighborhood","","","","","430000","","","","","375500","","","173000","","136500","260140","365000","284000","283000","","","252500","252140","","287000","","118000","430000","287000","167500","2e+05","249500","120000","","171000","","163750","","232250","","192000","150000","","192000","","170000","142000","205000","180000","254000","245750","100750","218010","","","149250","201000","362500","195250","180000","198000","117500","","127000","150000","170000","142000","247500","240000","","204000","290000","162500","325000","130000","213000","","508000","120000","232500","","219999","242500","178500","199000","131000","166500","170000","220000","184000","256000","363000"
"Brighton Beach","Brooklyn","Neighborhood","","990000","850000","142000","534995","245000","","250000","253500","325000","257500","450000","354400","373910","252500","313979","155000","725614.5","360000","250000","286000","589642.5","295000","407250","465540","198750","205000","475457.5","452290","450000","360000","282500","145000","151000","255000","392500","","518500","177500","355000","347500","279985","385000","273500","4e+05","671121","494217.5","423345","145000","285000","369000","590585","277625","319000","147500","340000","407500","625000","6e+05","257598","357000","395000","347500","437034","755000","453080","293000","444000","625000","450000","271000","240000","253500","375000","370000","219500","538080","625000","505000","325000","433750","495000","275000","","670000","330000","630000","214500","515000","367000","5e+05","590000"
"Brooklyn Heights","Brooklyn","Neighborhood","","","","625000","570000","6e+05","581250","482500","523125.5","455000","795000","722500","555000","580000","554946","620000","850000","712500","525000","497000","644000","802250","638951.5","644475","565000","590000","595000","735000","630000","621750","665500","460000","473517.5","720165","595000","650000","655000","637655.5","697500","945575.5","675000","590000","653000","505000","697000","799000","825000","730594","680604.5","746935","645000","774435","765000","735000","532000","840000","635000","525000","581500","650000","808000","1197500","891000","821000","595000","940000","736250","880000","661000","650000","850000","581000","796250","1050000","675500","681000","1116250","964000","1074500","1195000","1060000","737000","742000","712000","680000","850000","682500","1201000","1086250","1135000","688000","1113000"
"Brownsville","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","355000","","","","","183534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bushwick","Brooklyn","Neighborhood","","","","","","","","288750","","","275000","","","","379500","285000","","","","","","","","263999","","","354900","481650","","432000","","342732","","406500","","339690","301158","339690","349756","495846","435000","240000","630703","","625000","438750","","","","","","507500","","","","","","","","","","","","","","","","712000","710000","490000","","456300","776500","","720000","","","","","","","560546","","","443118","","","","840065","","449445",""
"Canarsie","Brooklyn","Neighborhood","","475000","395000","327000","365000","365000","415000","354500","360000","301500","397550","362500","360500","365000","314000","352350","239500","359000","352500","411600","410000","410000","","415000","445000","332500","159284","407808","339950","310000","385000","183000","345000","316035","387860","334050","403550","300700","312393","282625","387000","325000","386250","320000","425000","279896","275000","458750","360000","339000","339000","3e+05","382500","358000","293500","376000","211000","385000","352300","362000","265000","380000","365000","318000","276250","281700","397000","414000","152000","392500","366478","380250","382000","377208","395460","430950","294060","384306","377500","435000","399500","384306","402500","","420000","395000","377500","410000","","440000","298750","359500"
"Carnegie Hill","Manhattan","Neighborhood","1803560","1296500","1100000","1200000","1187500","3040000","1250000","1482000","875000","832500","2450000","980000","1396250","875000","1834250","2e+06","1347500","1430000","1600000","1631250","1418750","1868000","2500000","1555000","1987500","1720000","1635000","1450000","1553437.5","1440000","1047500","1950000","1375000","575000","1605000","1446500","1010000","1687500","1500000","1572500","1125000","1250000","999000","1624500","2167500","1425000","805000","1275000","860000","1680112","1290000","1460000","1359773","1400000","1600000","1432500","1310000","1845000","1082500","1350000","1465000","2e+06","1506250","2206000","1500000","1882750","1590000","1870000","1847500","1895000","2272500","1562500","2125000","1825000","2464500","2e+06","1262500","1737500","2050000","3812500","922500","1140000","950000","1650000","2350000","3674350","1535000","1587500","1484000","1510000","825000","2450000"
"Carroll Gardens","Brooklyn","Neighborhood","","","","695307.5","672500","738231","495000","825000","","758705","623000","","1175000","","","598750","","","","580402","","","","","","796250","1250000","","","8e+05","666023","650000","633500","","","","765000","662500","","640000","","657500","680000","","1017231","805000","933750","646250","860000","","","1075000","1070000","1886212","1303496","","","","","","","","821250","","","","880000","1349000","","742500","","","","","","","1462500","","","","","","","","","","","","","1725000","",""
"Central Harlem","Manhattan","Neighborhood","489255","819691","725000","570000","655931","660000","489215","645000","6e+05","707000","592687","610191.5","407000","331578","344760","630000","646588","469000","580000","595000","467500","497000","638250","398000","519745","439500","7e+05","681718","567009.5","490776","540000","512130.5","527500","509532","451010","697501","507500","510000","566000","509248","571242.5","596250","545000","606000","589500","587500","535000","691391","492500","617500","512500","618020.5","463500","491790","490000","380000","438500","498000","507888","455000","521344","464185","629500","704353.5","545000","450000","552495.5","762500","1150000","1191352","932712.5","672044.5","653716","837000","730000","560000","585000","695000","797800","875000","621500","519307","547500","519307","552290.5","487734","524699","847500","739500","488748","550000",""
"Central Park South","Manhattan","Neighborhood","","","","1900000","","","","","1545000","655000","","","2518000","1100000","","","","","","","","4150000","","2150000","","","","620000","9e+05","","","","","","","","","","1191742","","2500000","4100000","","","","1225000","","","","","2350000","999990","","1890000","841497.5","3375000","","","","","","2800000","2220156","1860000","","2100000","","","","","","","1080000","3300000","863000","","","1175000","","","","","","","","","","","","","",""
"Chelsea","Manhattan","Neighborhood","1364309.5","1293177","945378.5","1014500","950027","840056","955000","882000","850000","790000","1315000","823500","1249000","1530000","775000","1020000","1175000","850000","1645000","1155000","1270000","1414000","1530000","999000","1315000","1172203","1107346","810000","1211600","1142500","825000","769206.5","784594.5","767500","888847.5","967337","1029500","1210000","1190000","975000","971351","965000","925000","852500","1182263.5","1094618","930666.5","820000","1240250","1492657.5","1565000","1027500","1298906","870000","1450000","1087500","1075000","2269500","1055000","1210000","1305000","927500","1360000","1655000","1200000","985000","1142500","1807393","1110000","1200000","1117500","1247500","1080000","1167500","1250000","2350000","1475000","1099000","1812500","1280500","1475000","1630000","1325000","1372091.5","1255000","1200000","1575000","1575000","1532500","1642500","1872500","1690000"
"Chinatown","Manhattan","Neighborhood","","","","","","","","","","","","","","","","535000","","","","","","","","","","","","1149700","","","","","","","","","","","","","","","","","","1407800","","","","1495000","","","","1130000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clinton Hill","Brooklyn","Neighborhood","","","","","307500","458000","404586","370000","343118","379500","","436020","338750","","399000","520000","","4e+05","","","","","","","370000","375020","570220","437000","547427.5","384758","466375","331000","437794.5","352355","371250","445000","275000","395460","512500","418000","279000","353625","369000","362500","404369","435000","435000","433992","380000","454000","390000","429000","645000","423000","469000","432500","570000","","449000","450000","425500","460000","451000","499800","501930","536250","589509.5","499450","795000","570000","615000","","535000","685500","667500","731000","601000","692500","568957","529973","596932","679500","568000","520000","510000","675000","582000","720000","650000","619611.5","789143","895000"
"Cobble Hill","Brooklyn","Neighborhood","","","","","","","857500","","","","","","","","988942.5","625000","","","","","","","","","","","","968750","","","","","","","","","","","1025000","1102500","1143750","767250","","478500","694750","417000","","","","","","470000","1000500","","366081","","","510000","","","","","","","","","","","","","","660000","","","","1187500","1285000","","1205000","","","","","","","","2493359.5","","","","1325400",""
"College Point","Queens","Neighborhood","","","","","","","","530000","","","","","","","","242000","","","438000","","","","","","","","","420000","","","","","334620","420000","","","439000","","432522","340958","","450216","460254.5","","","440000","","","","667000","","397995","","","","525000","","","","","","","","","","","","","","","","","","1150000","","","","","","425000","552500","","","","","","","","","765000","775000",""
"Columbia Street Waterfront District","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","707683","587500","420000","","","","670422","609931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Concourse","Bronx","Neighborhood","","","","","","","","","","","","","","","168500","216857","","232500","99000","187000","","","","175000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201500","","","","","","","","","142000","","","277000","198750","","157500","176000","","247500","","","","","","",""
"Coney Island","Brooklyn","Neighborhood","","","","325625","180000","","3e+05","","235000","275000","","310000","","380000","337000","269500","","291500","479881.5","","","","369000","310000","310000","","376500","","","336000","","412000","","","600933","","","","318000","","","","","","","320000","","","","","365000","","347000","360000","284495","3e+05","260000","","223000","370000","240000","377500","345685","265000","352500","290000","3e+05","309150","355000","285000","280000","320000","","255000","329375","","357500","320000","302500","302500","280000","367500","409000","410000","358750","465000","328750","375000","335000","457500","","435000"
"Corona","Queens","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150000","","","","","287500","","","","1e+05","","","","","","","","90000","","130000","","","","","","","105000","","","","135000","","","","","118000","","","","","","","","","","170500","","136000","125000","","","","","","",""
"Crown Heights","Brooklyn","Neighborhood","589000","","","460213","426984.5","502500","435000","361000","411733","520287.5","490000","532750","640000","410000","364026","396000","415000","478000","320000","344500","453465","435000","304065","443395","405000","364045","396250","416470","367575","379683.5","535000","415740","497500","395460","307000","465000","305000","335000","430000","450000","425000","465000","480000","465000","","537381.5","626223","384000","457500","280000","483000","447500","530000","385000","340000","597465.5","585000","680000","534581","619250","745000","736500","577500","425000","793500","6e+05","450000","557655.5","571500","682000","","777300","710000","630000","1130000","","524398","528471","712500","556000","999999","763687","760000","","557500","1095000","839038","775000","1135000","620000","961191","855000"
"Ditmas Park","Brooklyn","Neighborhood","","","","","","","","","430000","","","","363454","","","357435","388965","","348000","702500","","","","","379505.5","","455000","374163","459500","435000","","434025","","470000","440000","438750","340000","","451250","470825","512500","507521","485000","5e+05","291000","417750","399476.5","342000","405000","","","","425000","332500","390000","329000","310000","327345","","310000","319125","","","","477000","676000","707000","265000","","615000","412500","570000","690000","","","425085.5","947000","680000","513500","","485000","","","","460000","","","515000","599000","","488000","725000"
"Downtown Brooklyn","Brooklyn","Neighborhood","","","","","","","405000","515000","5e+05","439000","389500","531526","495974","506684","460000","458150","471510","473290","617584","425000","381500","404586","409250","434000","497000","463500","475566","512304","564032","440130","807750","361240","505986","485895","","537126.5","525000","548500","570547.5","722957","710000","575155.5","657500","562427.5","655000","474978","6e+05","866608","575000","582439","680000","560000","637500","585000","660000","627000","587500","575000","560000","686515","565000","585000","820000","640000","812500","635000","580000","522000","633750","743000","749000","825749","848371","850000","1095000","702550","790000","870000","","550000","","840000","831000","670000","850000","","1749143.5","904000","685000","842500","765055","742500"
