"Area","Boro","AreaType","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01"
"Middle Village","Queens","Neighborhood","","","","","470000","","530000","","","","","367500","","","644000","","3e+05","550000","237000","","","","","","","","565000","","192500","240000","","","","","495000","","","","","","525000","","","","","","","605000","620000","","125000","","","","412500","","","","","","","","605000","592000","534000","670000","547500","","320000","530000","","559000","415000","644500","125000","","590000","819000","545000","615000","610000","380000","498000","465000","527000","","603000","710000","589750","491500","622500","573500"
"Midtown","Manhattan","Neighborhood","490000","690000","1089527","1037500","1199331.5","1025000","1058980","807500","959125","999000","1160000","1057537.5","670000","845665","1326113.5","1027500","914000","878577.5","1095000","1705059","1380000","1428637","1080000","955000","1245000","1125000","1350000","1417500","1200000","1105000","1250000","1376850","1040000","1150000","2250000","1100000","1195000","1690000","1005000","1037500","944888","9e+05","1050000","1030000","1294000","1035000","1050000","1045000","768000","1125000","1255000","1360000","1500000","1217500","1250000","680000","1476500","1024500","1450000","920000","1150000","1350000","1500000","1190000","1050000","1370000","2723818.5","2368000","1450000","2650000","1587500","1837500","1300000","2362500","1287500","1307500","1395000","1009900","2150000","1800000","1669954.5","1603743","2642358.5","2058250","1800000","1495750","2112500","1300000","1407918.5","1435000","950000","1049500"
"Midtown South","Manhattan","Neighborhood","","","","","","","","799000","1330000","630000","","","470000","650000","","638500","","","1258938.5","612000","","750000","","535000","557500","696500","1008067","875000","999921","969672.5","1026406","1158259","1191352","1349181","899500","1082993.5","644000","9e+05","1428095.5","1375000","898750","567250","1659747","2128750","988000","831000","659000","682500","960000","946972","1366000","1667109","1100000","576000","972500","840000","1665000","1200000","","6e+05","","628750","901250","1022000","897500","540500","","1337500","","","","999500","1060000","991992","1250000","547000","1274000","1200000","1100000","1074500","882000","9e+05","","","1050000","","","","","870000","715000","1640000"
"Midtown West","Manhattan","Neighborhood","701750","565000","784052","727500","622500","754166","720000","646000","710000","712512.5","832500","630000","6e+05","695000","652812.5","537500","888000","700500","649000","727500","880000","690000","640000","802500","470000","765000","777568","707683","787500","837500","828750","827500","658250.5","775000","1180000","775000","724435","829500","652300","832500","788500","758750","775000","801000","630000","847500","795000","825000","735000","1049500","873000","793000","810000","768000","840000","928487.5","632500","850000","780000","707500","854500","6e+05","924500","938000","707000","783750","583750","1027000","1088000","1060000","925000","610000","1038955.5","840000","960000","850238","855119","905000","1370437","1002537","1500000","1440823","1024388","1047086","994620","","","","","","",""
"Midwood","Brooklyn","Neighborhood","","645500","367581.5","","407450","560750","381200","505000","738231","463500","425000","165000","642000","178900","310000","475000","157309","540000","509500","463000","188500","435000","397500","432000","255000","365000","562500","459000","578500","210000","487213","354900","1e+05","349627.5","425000","422500","218000","299500","662500","537000","260000","470500","192660","","360250","542000","477500","563750","540000","325000","295000","162000","305000","432300","255000","550000","215000","254000","","161000","348000","465000","274500","332000","210000","358000","253250","410000","312750","352500","406655","392730","513875","204000","257500","182000","344600","194500","190000","239000","277500","232000","453000","231325","230000","527000","450000","185000","239500","497500","345000","735000"
"Mill Basin","Brooklyn","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","775000","","","","","1050000","","","","","","","","","","","","","","","","","","","","","","1062500","","","","","880000","","","","","","","","7e+05","","","","","577500","","","","","","","","","","","","","","","","","","",""
"Morningside Heights","Manhattan","Neighborhood","","","","","","385000","","","509500","","","580000","","","784070","602488","","520000","","","","","","","502500","","779000","544500","","537500","645000","","","","","","515000","","","556000","526250","5e+05","425000","","","449500","","403750","","","550000","632500","485000","499550","636250","750000","495000","525000","","","","525000","","491250","674000","560750","495000","","585000","625000","","","","475000","","659000","690000","","570000","1150000","","995000","","","","","745000","837500","","729500","","612500"
"Murray Hill","Manhattan","Neighborhood","626000","422500","676805.5","580000","635000","560000","498667","680000","425000","530000","580000","575000","640000","637250","622500","517500","613750","558500","610950","534581","524250","675000","530000","525000","545000","460000","486000","550000","465000","527500","450000","503500","537500","485000","638000","575000","430000","640000","558500","569500","772000","595000","528762.5","475000","515000","575000","447500","554000","595000","660000","667500","657500","657500","662500","642888.5","467750","675000","655000","645125","690750","591500","540000","515000","570000","7e+05","710000","595000","610250","731300","532500","555000","499000","582000","570000","560000","820000","695000","620000","618000","535000","610000","760500","533750","750000","787000","656784","952500","649444","691000","737500","780000","636406"
"Murray Hill (Queens)","Queens","Neighborhood","","","647500","","782500","","","","","","","533000","313000","640000","","536500","650000","","","","","","508000","810000","8e+05","810000","150000","730000","","","554000","735000","","825000","","640000","575000","150000","","","","","","","","699000","","469000","","605000","","1410000","","","718888","","645000","","","","","740000","","562500","747000","860000","990000","","","630000","782500","615000","470000","","","","373715","273780","","517500","","394000","720000","","741000","538000","","","","1353000","804000","317694"
"New Dorp","Staten Island","Neighborhood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412500","","","","","","","","","","","","","","","","","","","211120","","","","","4e+05","","","","","","","","","","450000","","450000","","","","","","","","","","","","","",""
